Kategori_Laporan,Kategori_Pos,Pos_Pos,Rincian_Pos_Pos,Tanggal,Nilai
Neraca,Aset,Aset Lainnya,Aset Lainnya,2014-10-01,777347
Neraca,Aset,Aset Lainnya,Aset Lainnya,2014-09-01,756280
Neraca,Aset,Aset Lainnya,Aset Lainnya,2015-01-01,1165732
Neraca,Aset,Aset Lainnya,Aset Lainnya,2015-02-01,1238310
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2013-08-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2013-04-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2013-07-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2013-06-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2013-03-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2013-05-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2013-11-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2013-10-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2013-09-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2013-12-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2014-08-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2014-04-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2014-12-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2014-07-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2014-06-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2014-03-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2014-05-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2014-11-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2014-10-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2014-09-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2015-01-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal dasar ,2015-02-01,9000000
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2013-08-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2013-04-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2013-07-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2013-06-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2013-03-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2013-05-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2013-11-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2013-10-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2013-09-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2013-12-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2014-08-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2014-04-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2014-12-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2014-07-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2014-06-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2014-03-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2014-05-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2014-11-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2014-10-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2014-09-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2015-01-01,5270579
Neraca,Ekuitas,Modal Disetor,Modal yang belum disetor -/-,2015-02-01,5270579
Neraca,Ekuitas,Modal Disetor,Saham yang dibeli kembali (treasury stock) -/-,2013-08-01,0
Neraca,Ekuitas,Modal Disetor,Saham yang dibeli kembali (treasury stock) -/-,2013-04-01,0
Neraca,Ekuitas,Modal Disetor,Saham yang dibeli kembali (treasury stock) -/-,2013-07-01,0
Neraca,Ekuitas,Modal Disetor,Saham yang dibeli kembali (treasury stock) -/-,2013-06-01,0
Neraca,Ekuitas,Modal Disetor,Saham yang dibeli kembali (treasury stock) -/-,2013-03-01,0
Neraca,Ekuitas,Modal Disetor,Saham yang dibeli kembali (treasury stock) -/-,2013-05-01,0
